"","Source","Target","Type","Weight"
"accur2","book","accur","Undirected",1
"authent1","book","authent","Undirected",1
"accur4","cover","accur","Undirected",1
"authent3","cover","authent","Undirected",1
"accur5","detect","accur","Undirected",2
"cover","detect","cover","Undirected",1
"accur6","emot","accur","Undirected",1
"besid4","emot","besid","Undirected",1
"besid6","foreign","besid","Undirected",1
"emot1","foreign","emot","Undirected",1
"accur9","game","accur","Undirected",2
"authent8","game","authent","Undirected",2
"book6","game","book","Undirected",1
"competit5","game","competit","Undirected",1
"detect3","game","detect","Undirected",2
"etrain1","game","etrain","Undirected",1
"foreign","game","foreign","Undirected",1
"accur10","gamebas","accur","Undirected",1
"authent9","gamebas","authent","Undirected",1
"competit6","gamebas","competit","Undirected",1
"detect4","gamebas","detect","Undirected",1
"game","gamebas","game","Undirected",8
"competit8","negat","competit","Undirected",1
"emot5","negat","emot","Undirected",2
"game2","negat","game","Undirected",1
"gamebas1","negat","gamebas","Undirected",1
"cover8","path","cover","Undirected",1
"authent13","perceiv","authent","Undirected",1
"game4","perceiv","game","Undirected",2
"gamebas3","perceiv","gamebas","Undirected",2
"negat1","perceiv","negat","Undirected",1
"path","perceiv","path","Undirected",1
"accur15","public","accur","Undirected",1
"besid13","public","besid","Undirected",1
"book12","public","book","Undirected",1
"game5","public","game","Undirected",2
"book13","qti","book","Undirected",1
"accur17","serious","accur","Undirected",1
"detect11","serious","detect","Undirected",2
"game7","serious","game","Undirected",7
"gamebas6","serious","gamebas","Undirected",2
